page,rows,elapsed_ms
882,1000,2.477
883,1000,2.448
884,1000,2.401
885,1000,2.422
886,1000,2.460
887,1000,2.541
888,1000,2.400
889,1000,2.483
890,1000,2.413
891,1000,2.522
892,1000,3.237
893,1000,3.818
894,1000,2.381
895,1000,3.247
896,1000,3.277
897,1000,2.307
898,1000,2.415
899,1000,2.191
900,1000,2.475
901,1000,2.498
902,1000,2.424
903,1000,2.325
904,1000,2.512
905,1000,2.420
906,1000,2.432
907,1000,2.359
908,1000,2.312
909,1000,2.379
910,1000,2.301
911,1000,2.446
912,1000,2.360
913,1000,2.234
914,1000,2.181
915,1000,2.363
916,1000,2.574
917,1000,2.237
918,1000,2.410
919,1000,2.262
920,1000,2.291
921,1000,2.430
922,1000,2.309
923,1000,2.446
924,1000,2.285
925,1000,2.295
926,1000,2.214
927,1000,2.490
928,1000,2.381
929,1000,2.500
930,1000,2.430
931,1000,2.400
932,1000,2.451
933,1000,2.340
934,1000,2.298
935,1000,2.366
936,1000,2.613
937,1000,2.252
938,1000,2.408
939,1000,2.246
940,1000,2.483
941,1000,2.475
942,1000,2.452
943,1000,2.402
944,1000,2.361
945,1000,3.051
946,1000,3.952
947,1000,2.538
948,1000,2.611
949,1000,2.590
950,1000,2.523
951,1000,2.456
952,1000,2.528
953,1000,2.669
954,1000,2.695
955,1000,2.661
956,1000,2.573
957,1000,2.504
958,1000,2.827
959,1000,3.439
960,1000,2.527
961,1000,2.555
962,1000,2.401
963,1000,3.054
964,1000,2.770
965,1000,3.522
966,1000,2.408
967,1000,2.227
968,1000,2.341
969,1000,3.240
970,1000,3.829
971,1000,2.217
972,1000,2.497
973,1000,2.185
974,1000,2.474
975,1000,2.448
976,1000,2.759
977,1000,2.376
978,1000,2.227
979,1000,2.483
980,1000,3.284
981,1000,2.492
982,1000,2.422
983,1000,2.400
984,1000,2.554
985,1000,2.579
986,1000,2.861
987,1000,2.531
988,1000,2.383
989,1000,2.494
990,1000,2.410
991,1000,2.367
992,1000,2.882
993,1000,3.001
994,1000,2.595
995,1000,2.880
996,1000,3.522
997,1000,2.381
998,1000,2.666
999,1000,2.336
1000,1000,2.219
1001,1000,2.524
1002,1000,3.183
1003,1000,2.849
1004,1000,3.793
1005,1000,2.253
1006,1000,2.250
1007,1000,2.623
1008,1000,2.714
1009,1000,3.199
1010,1000,3.153
1011,1000,2.258
1012,1000,2.477
1013,1000,2.280
1014,1000,2.378
1015,1000,2.495
1016,1000,2.406
1017,1000,2.355
1018,1000,2.569
1019,1000,2.305
1020,1000,2.363
1021,1000,2.680
1022,1000,3.603
1023,1000,2.254
1024,1000,2.390
1025,1000,3.288
1026,1000,2.306
1027,1000,2.642
1028,1000,2.496
1029,1000,2.628
1030,1000,2.363
1031,1000,2.238
1032,1000,2.293
1033,1000,2.928
1034,1000,2.186
1035,1000,2.287
1036,1000,2.373
1037,1000,2.346
1038,1000,2.419
1039,1000,2.516
1040,1000,2.427
1041,1000,3.237
1042,1000,2.283
1043,1000,2.410
1044,1000,2.495
1045,1000,2.356
1046,1000,3.244
1047,1000,2.256
1048,1000,2.987
1049,1000,2.458
1050,1000,2.352
1051,1000,2.423
1052,1000,2.398
1053,1000,2.377
1054,1000,2.398
1055,1000,2.378
1056,1000,2.381
1057,1000,2.444
1058,1000,2.514
1059,1000,2.545
1060,1000,2.608
1061,1000,2.425
1062,1000,2.432
1063,1000,2.532
1064,1000,2.546
1065,1000,3.882
1066,1000,2.882
1067,1000,2.443
1068,1000,2.440
1069,1000,2.568
1070,1000,3.610
1071,1000,2.262
1072,1000,2.781
1073,1000,2.404
1074,1000,2.448
1075,1000,2.442
1076,1000,2.709
1077,1000,2.768
1078,1000,2.793
1079,1000,2.756
1080,1000,2.850
1081,1000,2.265
1082,1000,3.728
1083,1000,2.285
1084,1000,2.664
1085,1000,2.289
1086,1000,3.111
1087,1000,2.567
1088,1000,2.326
1089,1000,2.254
1090,1000,2.231
1091,1000,2.192
1092,1000,2.238
1093,1000,2.529
1094,1000,2.356
1095,1000,2.682
1096,1000,2.373
1097,1000,3.722
1098,1000,3.480
1099,1000,3.799
1100,1000,3.477
1101,1000,3.862
1102,1000,2.306
1103,1000,2.403
1104,1000,3.777
1105,1000,2.205
1106,1000,2.222
1107,1000,2.300
1108,1000,2.324
1109,1000,2.930
1110,1000,2.875
1111,1000,3.402
1112,1000,2.298
1113,1000,3.748
1114,1000,2.282
1115,1000,2.237
1116,1000,2.360
1117,1000,2.959
1118,1000,2.300
1119,1000,2.475
1120,1000,2.410
1121,1000,2.991
1122,1000,3.741
1123,1000,2.317
1124,1000,2.523
1125,1000,3.313
1126,1000,3.670
1127,1000,2.399
1128,1000,2.427
1129,1000,2.604
1130,1000,2.508
1131,1000,2.537
1132,1000,2.372
1133,1000,2.573
1134,1000,3.451
1135,1000,3.915
1136,1000,2.562
1137,1000,2.549
1138,1000,2.509
1139,1000,2.809
1140,1000,2.307
1141,1000,2.389
1142,1000,2.477
1143,1000,2.530
1144,1000,3.472
1145,1000,2.283
1146,1000,3.844
1147,1000,2.261
1148,1000,2.773
1149,1000,2.430
1150,1000,2.633
1151,1000,2.548
1152,1000,2.430
1153,1000,2.582
1154,1000,2.484
1155,1000,2.543
1156,1000,2.500
1157,1000,2.328
1158,1000,2.498
1159,1000,3.356
1160,1000,2.259
1161,1000,2.426
1162,1000,2.607
1163,1000,2.520
1164,1000,2.497
1165,1000,2.422
1166,1000,2.390
1167,1000,3.331
1168,1000,3.533
1169,1000,2.401
1170,1000,2.349
1171,1000,2.559
1172,1000,2.346
1173,1000,2.265
1174,1000,2.765
1175,1000,2.397
1176,1000,2.323
1177,1000,2.249
1178,1000,2.318
1179,1000,2.248
1180,1000,2.176
1181,1000,2.157
1182,1000,2.313
1183,1000,3.670
1184,1000,2.342
1185,1000,2.243
1186,1000,2.392
1187,1000,2.305
1188,1000,2.292
1189,1000,2.530
1190,1000,3.353
1191,1000,2.237
1192,1000,3.720
1193,1000,3.601
1194,1000,2.280
1195,1000,2.944
1196,1000,2.369
1197,1000,2.334
1198,1000,2.510
1199,1000,2.421
1200,1000,2.501
1201,1000,2.928
1202,1000,2.277
1203,1000,2.386
1204,1000,2.309
1205,1000,2.896
1206,1000,3.835
1207,1000,2.551
1208,1000,2.382
1209,1000,2.551
1210,1000,2.306
1211,1000,2.409
1212,1000,2.570
1213,1000,2.452
1214,1000,2.451
1215,1000,2.427
1216,1000,3.273
1217,1000,2.278
1218,1000,2.530
1219,1000,3.640
1220,1000,2.314
1221,1000,3.204
1222,1000,3.266
1223,1000,2.287
1224,1000,3.485
1225,1000,3.918
1226,1000,2.288
1227,1000,2.898
1228,1000,2.381
1229,1000,2.387
1230,1000,2.355
1231,1000,3.509
1232,1000,2.231
1233,1000,2.773
1234,1000,2.229
1235,1000,2.334
1236,1000,2.518
1237,1000,2.564
1238,1000,2.485
1239,1000,2.596
1240,1000,2.595
1241,1000,2.414
1242,1000,2.249
1243,1000,2.525
1244,1000,2.710
1245,1000,2.406
1246,1000,2.536
1247,1000,2.500
1248,1000,2.545
1249,1000,2.366
1250,1000,2.231
1251,1000,2.205
1252,1000,2.202
1253,1000,2.192
1254,1000,2.320
1255,1000,2.384
1256,1000,2.442
1257,1000,2.240
1258,1000,2.979
1259,1000,2.673
1260,1000,2.257
1261,1000,3.514
1262,1000,2.937
1263,1000,2.213
1264,1000,2.663
1265,1000,3.337
1266,1000,3.200
1267,1000,3.009
1268,1000,2.305
1269,1000,3.165
