page,rows,elapsed_ms
1078,1000,245.352
1079,1000,248.752
1080,1000,248.793
1081,1000,246.008
1082,1000,249.864
1083,1000,249.314
1084,1000,248.279
1085,1000,249.116
1086,1000,249.007
1087,1000,249.600
1088,1000,251.898
1089,1000,250.895
1090,1000,250.176
1091,1000,250.318
1092,1000,246.886
1093,1000,249.835
1094,1000,252.670
1095,1000,250.557
1096,1000,251.243
1097,1000,248.742
1098,1000,252.121
1099,1000,253.606
1100,1000,252.366
1101,1000,254.082
1102,1000,251.188
1103,1000,247.215
1104,1000,254.071
1105,1000,255.363
1106,1000,253.940
1107,1000,256.810
1108,1000,254.163
1109,1000,258.844
1110,1000,252.417
1111,1000,254.029
1112,1000,254.928
1113,1000,251.867
1114,1000,251.293
1115,1000,256.210
1116,1000,256.506
1117,1000,257.433
1118,1000,258.267
1119,1000,261.391
1120,1000,255.819
1121,1000,256.556
1122,1000,257.557
1123,1000,255.284
1124,1000,254.507
1125,1000,257.257
1126,1000,257.219
1127,1000,259.106
1128,1000,258.709
1129,1000,260.901
1130,1000,257.137
1131,1000,261.574
1132,1000,259.654
1133,1000,257.819
1134,1000,257.421
1135,1000,259.146
1136,1000,261.219
1137,1000,260.521
1138,1000,259.926
1139,1000,258.191
1140,1000,258.558
1141,1000,261.205
1142,1000,263.643
1143,1000,263.382
1144,1000,263.596
1145,1000,259.922
1146,1000,263.186
1147,1000,262.476
1148,1000,262.634
1149,1000,263.007
1150,1000,267.251
1151,1000,264.381
1152,1000,259.714
1153,1000,260.540
1154,1000,282.490
1155,1000,266.289
1156,1000,262.149
1157,1000,264.829
1158,1000,265.255
1159,1000,266.310
1160,1000,264.105
1161,1000,266.782
1162,1000,262.238
1163,1000,267.085
1164,1000,268.181
1165,1000,266.948
1166,1000,263.734
1167,1000,269.369
1168,1000,267.310
1169,1000,268.354
1170,1000,269.799
1171,1000,269.115
1172,1000,269.539
1173,1000,267.674
1174,1000,268.871
1175,1000,267.600
1176,1000,269.211
1177,1000,264.993
1178,1000,268.746
1179,1000,273.129
1180,1000,272.448
1181,1000,270.365
1182,1000,272.140
1183,1000,271.907
1184,1000,271.274
1185,1000,270.553
1186,1000,271.869
1187,1000,271.226
1188,1000,268.593
1189,1000,270.690
1190,1000,273.552
1191,1000,273.382
1192,1000,271.811
1193,1000,273.059
1194,1000,274.493
1195,1000,276.114
1196,1000,272.858
1197,1000,272.642
1198,1000,273.044
1199,1000,286.202
1200,1000,276.200
1201,1000,278.908
1202,1000,277.426
1203,1000,275.919
1204,1000,276.181
1205,1000,275.992
1206,1000,274.806
1207,1000,276.666
1208,1000,273.533
1209,1000,272.067
1210,1000,339.520
1211,1000,364.407
1212,1000,299.546
1213,1000,357.643
1214,1000,302.783
1215,1000,307.821
1216,1000,350.137
1217,1000,315.513
1218,1000,312.067
1219,1000,352.087
1220,1000,301.314
1221,1000,311.169
1222,1000,349.913
1223,1000,310.478
1224,1000,334.733
1225,1000,323.302
1226,1000,325.514
1227,1000,339.073
1228,1000,312.515
1229,1000,338.093
1230,1000,331.062
1231,1000,316.867
1232,1000,316.031
1233,1000,314.294
1234,1000,336.342
1235,1000,317.992
1236,1000,315.695
1237,1000,328.620
1238,1000,317.998
1239,1000,350.039
1240,1000,316.504
1241,1000,353.087
1242,1000,325.114
1243,1000,350.352
1244,1000,323.558
1245,1000,355.165
1246,1000,325.622
1247,1000,348.135
1248,1000,321.579
1249,1000,352.142
1250,1000,321.210
1251,1000,357.183
1252,1000,330.796
1253,1000,352.371
1254,1000,332.429
1255,1000,350.341
1256,1000,349.394
1257,1000,334.957
1258,1000,352.047
1259,1000,341.268
1260,1000,352.128
1261,1000,342.758
1262,1000,348.252
1263,1000,335.960
1264,1000,362.257
1265,1000,338.151
1266,1000,350.058
1267,1000,337.232
1268,1000,355.013
1269,1000,338.279
1270,1000,353.661
1271,1000,350.338
1272,1000,347.579
1273,1000,347.810
1274,1000,362.459
1275,1000,349.259
1276,1000,351.079
1277,1000,356.041
1278,1000,348.880
1279,1000,358.411
